 BadLandings	178	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	299,5°]		 Bad Chance	0,0562186336345347%
 BadLandings	179	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	300°]		 Bad Chance	0,0564916477572185%
 BadLandings	180	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	300,5°]		 Bad Chance	0,0567642486147947%
 BadLandings	181	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	301°]		 Bad Chance	0,0570364371449009%
 BadLandings	182	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	301,5°]		 Bad Chance	0,0573082142823406%
 BadLandings	183	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	302°]		 Bad Chance	0,0575795809590933%
 BadLandings	184	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	302,5°]		 Bad Chance	0,0578505381043259%
 BadLandings	185	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	303°]		 Bad Chance	0,0581210866444026%
 BadLandings	186	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	303,5°]		 Bad Chance	0,058391227502896%
 BadLandings	187	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	304°]		 Bad Chance	0,0586609616005973%
 BadLandings	188	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	304,5°]		 Bad Chance	0,0589302898555268%
 BadLandings	189	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	305°]		 Bad Chance	0,0591992131829444%
 BadLandings	190	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	305,5°]		 Bad Chance	0,05946773249536%
 BadLandings	191	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	306°]		 Bad Chance	0,0597358487025436%
 BadLandings	192	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	306,5°]		 Bad Chance	0,060003562711536%
 BadLandings	193	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	307°]		 Bad Chance	0,0602708754266585%
 BadLandings	194	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	307,5°]		 Bad Chance	0,0605377877495233%
 BadLandings	195	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	308°]		 Bad Chance	0,060804300579044%
 BadLandings	196	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	308,5°]		 Bad Chance	0,0610704148114451%
 BadLandings	197	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	309°]		 Bad Chance	0,0613361313402723%
 BadLandings	198	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	309,5°]		 Bad Chance	0,0616014510564027%
 BadLandings	199	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	310°]		 Bad Chance	0,0618663748480543%
 BadLandings	200	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	310,5°]		 Bad Chance	0,0621309036007965%
 BadLandings	201	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	311°]		 Bad Chance	0,0623950381975595%
